Name,Acceleration,Finishing,Free kick accuracy,Heading accuracy,Penalties,Sprint speed,Volleys
R. Hamouma,79,79,73,63,72,78,75
M. Fernández,79,62,82,50,72,73,70
Raúl Navas,55,36,65,79,46,51,44
A. Dzyuba,66,77,60,88,77,65,72
B. Yılmaz,83,82,75,72,79,81,77
J. Holebas,78,57,71,74,57,81,50
K. Casteels,44,15,13,14,20,46,13
Javi García,64,59,44,86,61,66,59
Fontàs,33,45,52,73,52,30,46
K. Vermeer,64,13,13,16,30,55,11
M. Höger,61,65,61,67,74,54,73
S. Dann,44,40,29,85,30,45,29
Y. Bolasie,86,64,49,51,65,87,51
D. Glushakov,71,73,59,68,75,68,65
Juanfran,76,57,60,69,59,81,53
K. Trippier,78,45,68,70,39,77,44
Guilherme,37,11,12,13,12,40,13
Souza,68,65,61,77,63,71,44
T. Mangani,64,66,79,68,75,62,67
N. Stark,75,50,35,80,39,78,48
Adriano,77,59,69,65,59,74,53
B. Mee,66,27,31,77,36,66,29
M. Ginter,54,51,51,83,67,72,53
Paulo Oliveira,67,25,29,77,45,68,36
C. Dempsey,64,79,73,77,71,65,75
R. Funes Mori,79,82,58,77,70,76,72
M. Weiser,85,63,52,65,58,84,59
L. Kalinić,30,12,13,15,22,39,15
N. Subotić,51,29,58,84,43,65,32
N. Blandi,67,82,54,80,78,65,77
M. Phillips,88,69,48,54,61,86,45
M. Braithwaite,82,77,75,66,73,86,73
A. Lafont,48,6,12,13,16,45,9
D. Reyes,63,44,36,79,48,66,37
Iván Ramis,38,54,77,72,65,38,59
V. Behrami,63,56,69,68,72,63,69
G. Hoarau,55,82,54,81,81,52,75
Jesé,87,71,66,42,68,80,55
J. Pinola,69,38,55,67,38,70,46
Luís Hernández,71,37,42,69,54,72,53
Jonny,74,28,54,62,46,79,44
B. Dočkal,68,69,80,57,75,66,72
Raphaelito Anjos,41,8,18,11,14,42,8
M. Carcela-González,86,72,71,35,65,80,70
L. Pavoletti,67,83,28,82,64,67,80
D. Bonera,36,23,29,74,49,33,19
Marcelo,69,24,27,80,42,70,28
Dalbert,91,59,47,60,42,91,52
G. McAuley,36,50,33,85,49,31,23
A. Halilović,78,61,69,24,75,74,64
Sidney Pessinho,72,56,77,62,67,72,45
A. Potuk,87,66,40,62,56,86,54
F. Pogba,63,21,69,73,38,69,45
M. Andújar,45,11,16,10,23,45,11
D. Boyko,49,18,14,18,15,48,7
M. Andreolli,44,16,18,76,34,65,23
Bruno,34,23,31,77,42,39,23
O. Duarte,60,26,32,77,37,69,32
Rúben Neves,65,62,70,61,59,66,68
Jozabed,67,73,57,64,54,65,54
P. Pérez,70,61,72,58,59,71,39
Pacheco,48,16,20,10,23,44,13
Ronaldo Esler,88,45,49,60,49,86,55
Vitor Hugo,66,26,34,83,49,70,33
D. Pabón,90,77,75,51,80,86,77
Juan Jesus,78,20,36,74,37,79,17
E. Durm,83,50,35,63,55,83,43
G. Imbula,73,51,38,62,29,71,28
Luís Neto,57,33,43,82,47,59,40
B. Ruíz,64,65,74,75,73,66,79
Jordi Amat,63,34,36,74,28,72,28
S. Kapino,41,13,18,12,26,43,19
J. Ďurica,34,30,67,81,14,33,40
B. Stambouli,65,50,43,68,50,65,40
F. Armani,30,11,16,11,20,34,15
C. Kaboré,72,53,53,69,65,70,31
A. Rukavina,71,36,38,63,42,76,49
P. Kimpembe,69,31,32,69,43,69,28
Sergio León,77,82,64,71,80,76,77
M. Elneny,58,57,61,57,62,61,39
D. Torres,60,55,50,61,72,57,48
C. Jallet,69,57,66,71,65,72,70
A. Song,68,55,41,68,66,65,52
Castán,60,21,24,77,26,65,22
K. Huntelaar,52,80,64,78,56,57,81
T. Partey,75,60,41,66,46,78,53
Mário Rui,88,27,60,60,60,84,53
André Pinto,50,34,50,78,46,50,36
L. Rémy,74,78,51,76,76,77,70
O. Kıvrak,60,10,11,14,19,60,10
A. Bertolacci,72,62,64,64,56,76,69
A. Živković,87,67,65,43,60,84,68
Iraizoz,32,12,13,13,13,33,16
D. Da Silva,47,25,31,78,43,66,36
D. Benaglio,42,12,13,15,23,44,12
T. Rincón,76,45,52,58,46,72,60
Y. Ōsako,77,72,53,70,70,76,74
L. Sané,52,32,23,83,33,67,22
Gil,53,28,34,75,42,67,23
J. King,87,82,42,63,72,92,67
Bastos,70,30,28,74,50,73,31
A. Meier,34,81,75,74,72,40,83
Montoya,83,50,55,59,50,83,66
L. Dalsaro,72,56,77,62,67,72,45
K. Källström,35,62,80,62,70,37,79
T. Vaclík,34,14,16,19,13,35,13
M. Zárate,79,78,79,56,70,75,78
G. İnler,52,56,68,68,74,51,76
Marçal,83,57,55,58,49,78,44
M. Ryan,53,11,12,14,25,52,15
A. Gamberini,62,29,28,76,41,68,27
Yoel,35,14,15,10,25,43,19
S. Widmer,78,58,56,68,58,84,48
