Name,Acceleration,Finishing,Heading accuracy,Penalties,Volleys
J. Guidetti,65,79,67,81,77
Borja Bastón,57,78,77,72,80
J. Farfán,82,75,58,79,69
J. Montero,91,65,50,68,64
A. Mandi,66,41,83,35,36
K. Mbodj,68,45,81,62,63
M. Badelj,58,54,66,68,66
R. Battaglia,65,65,68,57,64
M. Ruben,77,83,75,74,68
M. Borriello,57,83,80,74,70
Rodrigo,89,74,72,77,74
R. Gagliardini,71,55,76,41,69
Eliseu,75,59,72,64,67
F. Kostić,89,64,48,67,68
A. Onana,64,12,20,27,13
Mosquera,65,58,65,51,51
Rochina,75,70,54,67,68
André André,73,69,64,84,64
Rúben Semedo,68,43,75,38,51
K. Fortounis,73,72,57,80,71
S. Ryzhikov,40,13,12,22,14
A. N'Diaye,66,46,55,54,31
B. Reynet,41,17,14,19,19
Y. Gourcuff,63,64,71,75,70
K. Asamoah,79,55,64,64,76
R. Bobadilla,69,77,74,75,76
R. Hamouma,79,79,63,72,75
C. Pulisic,93,71,49,48,70
M. Fernández,79,62,50,72,70
K. Honda,77,60,72,76,72
Raúl Navas,55,36,79,46,44
A. Dzyuba,66,77,88,77,72
B. Yılmaz,83,82,72,79,77
J. Holebas,78,57,74,57,50
K. Casteels,44,15,14,20,13
Javi García,64,59,86,61,59
D. Caligiuri,78,69,56,79,68
Fontàs,33,45,73,52,46
K. Vermeer,64,13,16,30,11
Jony,86,75,44,61,56
M. Höger,61,65,67,74,73
S. Dann,44,40,85,30,29
Rafa,91,65,46,59,64
Y. Bolasie,86,64,51,65,51
D. Glushakov,71,73,68,75,65
Juanfran,76,57,69,59,53
K. Trippier,78,45,70,39,44
Guilherme,37,11,13,12,13
A. Ramos,77,78,86,72,73
M. Bradley,69,61,64,69,71
Souza,68,65,77,63,44
T. Mangani,64,66,68,75,67
N. Stark,75,50,80,39,48
Carles Gil,70,72,34,69,71
Adriano,77,59,65,59,53
B. Mee,66,27,77,36,29
M. Ginter,54,51,83,67,53
Paulo Oliveira,67,25,77,45,36
C. Dempsey,64,79,77,71,75
R. Funes Mori,79,82,77,70,72
M. Weiser,85,63,65,58,59
H. Briceldo,84,74,77,74,76
B. Moukandjo,90,80,68,79,72
Juanmi,80,80,73,63,74
L. Kalinić,30,12,15,22,15
N. Subotić,51,29,84,43,32
N. Blandi,67,82,80,78,77
P. De Blasis,87,71,71,77,60
M. Phillips,88,69,54,61,45
M. Braithwaite,82,77,66,73,73
A. Lafont,48,6,13,16,9
D. Reyes,63,44,79,48,37
Iván Ramis,38,54,72,65,59
V. Behrami,63,56,68,72,69
G. Hoarau,55,82,81,81,75
T. Barnetta,74,64,56,70,69
E. Choupo-Moting,76,75,74,68,75
Jesé,87,71,42,68,55
J. Pinola,69,38,67,38,46
Luís Hernández,71,37,69,54,53
Jonny,74,28,62,46,44
B. Dočkal,68,69,57,75,72
Raphaelito Anjos,41,8,11,14,8
M. Carcela-González,86,72,35,65,70
L. Pavoletti,67,83,82,64,80
D. Bonera,36,23,74,49,19
Marcelo,69,24,80,42,28
Dalbert,91,59,60,42,52
G. McAuley,36,50,85,49,23
A. Halilović,78,61,24,75,64
N. Amiri,78,65,42,65,65
I. Popov,80,72,66,71,66
W. Hoolahan,65,67,43,77,62
Sidney Pessinho,72,56,62,67,45
A. Potuk,87,66,62,56,54
F. Pogba,63,21,73,38,45
M. Andújar,45,11,10,23,11
D. Boyko,49,18,18,15,7
A. Carrillo,86,71,70,68,74
M. Andreolli,44,16,76,34,23
Bruno,34,23,77,42,23
O. Duarte,60,26,77,37,32
Rúben Neves,65,62,61,59,68
Jozabed,67,73,64,54,54
P. Pérez,70,61,58,59,39
Gazzolisco,81,54,77,77,71
Pacheco,48,16,10,23,13
M. Gamonales,84,69,60,64,71
Ronaldo Esler,88,45,60,49,55
Vitor Hugo,66,26,83,49,33
T. Arslan,75,64,58,76,68
J. Veretout,68,73,53,77,70
D. Pabón,90,77,51,80,77
Juan Jesus,78,20,74,37,17
E. Durm,83,50,63,55,43
G. Imbula,73,51,62,29,28
Luis Alberto,67,73,45,56,58
M. Risse,81,73,52,72,68
Luís Neto,57,33,82,47,40
B. Ruíz,64,65,75,73,79
Jordi Amat,63,34,74,28,28
S. Kapino,41,13,12,26,19
J. Ďurica,34,30,81,14,40
B. Stambouli,65,50,68,50,40
F. Armani,30,11,11,20,15
C. Kaboré,72,53,69,65,31
A. Rukavina,71,36,63,42,49
P. Kimpembe,69,31,69,43,28
Sergio León,77,82,71,80,77
M. Elneny,58,57,57,62,39
D. Torres,60,55,61,72,48
S. Okazaki,76,74,74,74,76
C. Jallet,69,57,71,65,70
Y. Salibur,90,73,58,65,62
N. Redmond,89,69,33,57,55
A. Song,68,55,68,66,52
Andreas Pereira,73,68,59,49,76
Castán,60,21,77,26,22
K. Huntelaar,52,80,78,56,81
T. Partey,75,60,66,46,53
Mário Rui,88,27,60,60,53
André Pinto,50,34,78,46,36
L. Rémy,74,78,76,76,70
Badou Ndiaye,86,74,59,65,65
O. Kıvrak,60,10,14,19,10
A. Bertolacci,72,62,64,56,69
A. Živković,87,67,43,60,68
Iraizoz,32,12,13,13,16
D. Da Silva,47,25,78,43,36
D. Benaglio,42,12,15,23,12
T. Rincón,76,45,58,46,60
Y. Ōsako,77,72,70,70,74
L. Sané,52,32,83,33,22
Gil,53,28,75,42,23
J. King,87,82,63,72,67
Bastos,70,30,74,50,31
J. Quintero,76,64,42,71,65
A. Meier,34,81,74,72,83
G. Nkoudou,92,71,49,67,74
Montoya,83,50,59,50,66
L. Dalsaro,72,56,62,67,45
K. Källström,35,62,62,70,79
T. Vaclík,34,14,19,13,13
M. Politano,85,69,40,70,67
M. Zárate,79,78,56,70,78
G. İnler,52,56,68,74,76
M. Albrighton,79,69,42,60,72
A. Gray,90,80,65,74,67
Marçal,83,57,58,49,44
M. Ryan,53,11,14,25,15
A. Gamberini,62,29,76,41,27
Yoel,35,14,10,25,19
S. Widmer,78,58,68,58,48
J. Aquino,92,64,47,67,51
